acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,92221.09,1,usa_bank,,,,,,US,,,,,,
1,C_1,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,87897.72,1,usa_bank,,,,,,US,,,,,,
2,C_2,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,71028.58,1,usa_bank,,,,,,US,,,,,,
3,C_3,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,62945.84,1,usa_bank,,,,,,US,,,,,,
4,C_4,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,75563.74,1,usa_bank,,,,,,US,,,,,,
5,C_5,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,70246.71,1,usa_bank,,,,,,US,,,,,,
6,C_6,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,89189.93,1,usa_bank,,,,,,US,,,,,,
7,C_7,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,65165.64,1,usa_bank,,,,,,US,,,,,,
8,C_8,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,73829.85,1,usa_bank,,,,,,US,,,,,,
9,C_9,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,79169.10,1,usa_bank,,,,,,US,,,,,,
10,C_10,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,95405.64,1,usa_bank,,,,,,US,,,,,,
11,C_11,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,75234.34,1,usa_bank,,,,,,US,,,,,,
12,C_12,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,64091.89,1,usa_bank,,,,,,US,,,,,,
13,C_13,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,87790.21,1,usa_bank,,,,,,US,,,,,,
14,C_14,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,80918.45,1,usa_bank,,,,,,US,,,,,,
15,C_15,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,62525.32,1,usa_bank,,,,,,US,,,,,,
16,C_16,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,95487.31,1,usa_bank,,,,,,US,,,,,,
17,C_17,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,99139.27,1,usa_bank,,,,,,US,,,,,,
18,C_18,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,90510.86,1,usa_bank,,,,,,US,,,,,,
19,C_19,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,95108.30,1,usa_bank,,,,,,US,,,,,,
20,C_20,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,65507.38,1,usa_bank,,,,,,US,,,,,,
21,C_21,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,86491.59,1,usa_bank,,,,,,US,,,,,,
22,C_22,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,94941.91,1,usa_bank,,,,,,US,,,,,,
23,C_23,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,84199.20,1,usa_bank,,,,,,US,,,,,,
24,C_24,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,73607.14,1,usa_bank,,,,,,US,,,,,,
25,C_25,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,38126.22,2,can_bank,,,,,,US,,,,,,
26,C_26,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,98150.93,2,can_bank,,,,,,US,,,,,,
27,C_27,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,129959.66,2,can_bank,,,,,,US,,,,,,
28,C_28,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,184341.99,2,can_bank,,,,,,US,,,,,,
29,C_29,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,193989.15,2,can_bank,,,,,,US,,,,,,
30,C_30,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,105861.76,2,can_bank,,,,,,US,,,,,,
31,C_31,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,175755.79,2,can_bank,,,,,,US,,,,,,
32,C_32,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,66888.62,2,can_bank,,,,,,US,,,,,,
33,C_33,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,164905.01,2,can_bank,,,,,,US,,,,,,
34,C_34,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,118765.87,2,can_bank,,,,,,US,,,,,,
35,C_35,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,22527.51,2,can_bank,,,,,,US,,,,,,
36,C_36,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,149546.84,2,can_bank,,,,,,US,,,,,,
37,C_37,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,91788.24,2,can_bank,,,,,,US,,,,,,
38,C_38,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,168472.10,2,can_bank,,,,,,US,,,,,,
39,C_39,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,140267.58,2,can_bank,,,,,,US,,,,,,
40,C_40,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,20205.71,2,can_bank,,,,,,US,,,,,,
41,C_41,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,108844.02,2,can_bank,,,,,,US,,,,,,
42,C_42,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,176168.50,2,can_bank,,,,,,US,,,,,,
43,C_43,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,63903.96,2,can_bank,,,,,,US,,,,,,
44,C_44,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,78536.79,2,can_bank,,,,,,US,,,,,,
45,C_45,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,176684.82,2,can_bank,,,,,,US,,,,,,
46,C_46,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,54392.08,2,can_bank,,,,,,US,,,,,,
47,C_47,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,122151.93,2,can_bank,,,,,,US,,,,,,
48,C_48,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,62950.87,2,can_bank,,,,,,US,,,,,,
49,C_49,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,194157.25,2,can_bank,,,,,,US,,,,,,
50,C_50,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,252763.07,3,uae_bank,,,,,,US,,,,,,
51,C_51,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,167512.70,3,uae_bank,,,,,,US,,,,,,
52,C_52,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,79307.00,3,uae_bank,,,,,,US,,,,,,
53,C_53,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,136813.11,3,uae_bank,,,,,,US,,,,,,
54,C_54,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,181905.75,3,uae_bank,,,,,,US,,,,,,
55,C_55,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,283880.12,3,uae_bank,,,,,,US,,,,,,
56,C_56,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,86173.88,3,uae_bank,,,,,,US,,,,,,
57,C_57,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,192304.14,3,uae_bank,,,,,,US,,,,,,
58,C_58,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,229574.74,3,uae_bank,,,,,,US,,,,,,
59,C_59,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,191385.82,3,uae_bank,,,,,,US,,,,,,
60,C_60,SAV,A,USD,false,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,255472.05,3,uae_bank,,,,,,US,,,,,,
61,C_61,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,189668.07,3,uae_bank,,,,,,US,,,,,,
62,C_62,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,291321.25,3,uae_bank,,,,,,US,,,,,,
63,C_63,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,204764.55,3,uae_bank,,,,,,US,,,,,,
64,C_64,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,201028.10,3,uae_bank,,,,,,US,,,,,,
65,C_65,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,166797.37,3,uae_bank,,,,,,US,,,,,,
66,C_66,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,203108.85,3,uae_bank,,,,,,US,,,,,,
67,C_67,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,152376.28,3,uae_bank,,,,,,US,,,,,,
68,C_68,SAV,A,USD,true,1,2010-01-01T00:00:00Z,4747-11-29T00:00:00Z,198156.24,3,uae_bank,,,,,,US,,,,,,
